location_id,source_type,status,failure_reason,address_type,name,display_name,latitude,longitude,house_number,road,neighbourhood,suburb,county,city,state,ISO3166-2-lvl4,postcode,country,country_code
1,filming,success,,house,,"725, East 5th Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10009, United States",40.7225384,-73.9786049,725,East 5th Street,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10009,United States,us
2,filming,success,,yes,,"9, Murray Street, Lower Manhattan, Manhattan, New York County, City of New York, New York, 10007, United States",40.71360755,-74.00786515839098,9,Murray Street,,Manhattan,New York County,City of New York,New York,US-NY,10007,United States,us
3,filming,success,,secondary,7th Avenue,"7th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",40.75922040082986,-73.98462105157385,,7th Avenue,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10019,United States,us
4,filming,success,,house,,"23, East 63rd Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",40.7662611,-73.9697195,23,East 63rd Street,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10065,United States,us
5,filming,success,,memorial,National September 11 Memorial & Museum,"National September 11 Memorial & Museum, 180, Greenwich Street, Whitehall, Lower Manhattan, Manhattan, New York County, City of New York, New York, 10007, United States",40.711367499999994,-74.01327039290445,180,Greenwich Street,Whitehall,Manhattan,New York County,City of New York,New York,US-NY,10007,United States,us
6,filming,success,,garden,,"FDR Drive, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10162, United States",40.7748863,-73.94303374436393,,FDR Drive,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10162,United States,us
7,filming,success,,house,,"46-09, 11th Street, Long Island City, Queens, Queens County, City of New York, New York, 11101, United States",40.7460338,-73.9502224,46-09,11th Street,,Queens,Queens County,City of New York,New York,US-NY,11101,United States,us
8,filming,success,,artwork,The Five Founders of the Statue of Liberty,"The Five Founders of the Statue of Liberty, Flagpole Plaza, Jersey City, Hudson County, New Jersey, 07303, United States",40.6897667,-74.0438937,,Flagpole Plaza,,,Hudson County,Jersey City,New Jersey,US-NJ,07303,United States,us
9,filming,success,,ruins,Fort Gibson,"Fort Gibson, Ellis Island Bridge, Jersey City, Hudson County, New Jersey, 07303, United States",40.6991315,-74.0386701,,Ellis Island Bridge,,,Hudson County,Jersey City,New Jersey,US-NJ,07303,United States,us
10,filming,success,,house,,"104, Grand Street, University Village, Manhattan, New York County, City of New York, New York, 10013, United States",40.7213671,-74.0015065,104,Grand Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
11,filming,success,,house,,"30, East 95th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10128, United States",40.7865584,-73.9549011,30,East 95th Street,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10128,United States,us
12,filming,success,,yes,,"68, Mott Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10013, United States",40.71614455,-73.99790367225708,68,Mott Street,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
13,filming,success,,yes,,"70, Mercer Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",40.72242445,-74.00018739097199,70,Mercer Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10012,United States,us
14,filming,success,,toilets,Riegelmann Boardwalk Restroom,"Riegelmann Boardwalk Restroom, 426-830, Riegelmann Boardwalk, West Brighton, Brooklyn, Kings County, City of New York, New York, 11224, United States",40.573378,-73.97584604959484,426-830,Riegelmann Boardwalk,West Brighton,Brooklyn,Kings County,City of New York,New York,US-NY,11224,United States,us
15,filming,success,,bridge,,"Old Slip, Whitehall, Manhattan, New York County, City of New York, New York, 10005, United States",40.70577825,-74.00360515001154,,Old Slip,Whitehall,Manhattan,New York County,City of New York,New York,US-NY,10005,United States,us
16,filming,success,,house,,"7, Sutton Square, Sutton, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States",40.757898,-73.9596114,7,Sutton Square,Sutton,Manhattan,New York County,City of New York,New York,US-NY,10022,United States,us
17,filming,success,,yes,,"40, East 68th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10065, United States",40.76872505,-73.96668130942243,40,East 68th Street,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10065,United States,us
18,filming,success,,yes,,"39, West 95th Street, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",40.791736099999994,-73.96649865,39,West 95th Street,Manhattan Community Board 7,Manhattan,New York County,City of New York,New York,US-NY,10025,United States,us
19,filming,success,,house,,"742, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",40.7633428,-73.9739177,742,5th Avenue,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10019,United States,us
20,filming,success,,school,Public School 41,"Public School 41, 116, West 11th Street, Manhattan, New York County, City of New York, New York, 10011, United States",40.73547790000001,-73.99952780844302,116,West 11th Street,,Manhattan,New York County,City of New York,New York,US-NY,10011,United States,us
21,filming,success,,playground,Washington Square Playground,"Washington Square Playground, Washington Square North, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",40.7308294,-73.99670745349188,,Washington Square North,University Village,Manhattan,New York County,City of New York,New York,US-NY,10012,United States,us
22,filming,success,,house,,"679, Greenwich Street, Manhattan, New York County, City of New York, New York, 10014, United States",40.7330367,-74.0073429,679,Greenwich Street,,Manhattan,New York County,City of New York,New York,US-NY,10014,United States,us
23,filming,success,,yes,Building 1,"Building 1, 79, Essex Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States",40.71815485,-73.98890247329652,79,Essex Street,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10002,United States,us
24,filming,success,,yes,,"336, West 19th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10011, United States",40.7433477,-74.00191442249661,336,West 19th Street,Manhattan Community Board 4,Manhattan,New York County,City of New York,New York,US-NY,10011,United States,us
25,filming,success,,waste_basket,,"East 59th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10022, United States",40.7640239,-73.9729249,,East 59th Street,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10022,United States,us
26,filming,success,,apartments,,"101, Prospect Park Southwest, Brooklyn, Kings County, City of New York, New York, 11218, United States",40.657689399999995,-73.97439009538536,101,Prospect Park Southwest,,Brooklyn,Kings County,City of New York,New York,US-NY,11218,United States,us
27,filming,success,,yes,Trump Tower,"Trump Tower, 721/725, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10022, United States",40.7623148,-73.97390282125886,721/725,5th Avenue,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10022,United States,us
28,filming,success,,yes,,"11, East 71st Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10021, United States",40.771485299999995,-73.96635555394415,11,East 71st Street,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10021,United States,us
29,filming,success,,pedestrian,,"Manhattan, New York County, City of New York, New York, 10153, United States",40.77152175,-73.97192263871874,,,,Manhattan,New York County,City of New York,New York,US-NY,10153,United States,us
30,filming,success,,yes,,"850, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",40.764068,-73.98146250525862,850,7th Avenue,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10019,United States,us
31,filming,success,,primary,Cross Bay Boulevard,"Cross Bay Boulevard, Queens, Queens County, City of New York, New York, 11693, United States",40.66551459509092,-73.84133988055754,,Cross Bay Boulevard,,Queens,Queens County,City of New York,New York,US-NY,11693,United States,us
